net,length_um
_03148_,264.56µm
net524,264.54µm
net523,264.02µm
_11214_,263.94µm
_02919_,263.51µm
_02837_,263.36µm
_07978_,262.99µm
_03699_,262.98µm
clknet_5_15__leaf_clk,262.92µm
net605,262.72µm
_04402_,262.67µm
_09174_,262.48µm
net702,262.415µm
net371,262.41µm
_04224_,262.27µm
_09214_,262.21µm
_10512_,261.97µm
_02564_,261.77µm
dec_block.block_w0_reg\[12\],261.345µm
_09233_,261.34µm
_09124_,261.28µm
enc_block.block_w1_reg\[28\],261.28µm
net406,261.14µm
enc_block.block_w1_reg\[17\],260.87µm
_03783_,260.805µm
net437,260.46µm
_07937_,260.41µm
dec_block.block_w3_reg\[19\],259.89µm
_09276_,259.86µm
_04165_,259.62µm
_02724_,259.34µm
net340,259.12µm
_04264_,258.91µm
net479,258.82µm
_03768_,258.725µm
_11610_,258.62µm
_10903_,258.58µm
net528,258.5µm
_08222_,258.16µm
net435,257.96µm
_10649_,257.82µm
clknet_5_28__leaf_clk,257.82µm
dec_block.block_w0_reg\[3\],257.36µm
_08361_,256.86µm
_11027_,256.78µm
_02857_,256.77µm
net695,256.63µm
net625,256.45µm
_11142_,256.34µm
net462,255.98µm
_10725_,255.74µm
net470,255.6µm
_07988_,255.4µm
net85,255.38µm
_02503_,255.28µm
_04802_,255.24µm
_10336_,255.23µm
net408,255.02µm
dec_block.block_w0_reg\[10\],254.76µm
_05814_,254.68µm
enc_block.block_w2_reg\[31\],254.68µm
_04053_,254.6µm
_03199_,254.5µm
_08988_,254.42µm
_07996_,254.41µm
net505,254.26µm
_03445_,254.12µm
dec_block.block_w3_reg\[0\],254.01µm
_07865_,253.98µm
_11065_,253.88µm
net634,253.84µm
_02834_,253.76µm
net707,253.71µm
net359,253.66µm
_09793_,253.6µm
_04679_,253.54µm
_03455_,252.605µm
_11288_,252.5µm
enc_block.block_w1_reg\[14\],252.47µm
_04782_,252.1µm
_11774_,252.09µm
net429,251.8µm
_08859_,251.66µm
_06149_,251.46µm
keymem.prev_key1_reg\[19\],251.42µm
net417,251.4µm
_03161_,250.95µm
net425,250.89µm
net497,250.86µm
net145,250.79µm
net158,250.78µm
_09187_,250.61µm
_04846_,250.48µm
_10939_,250.35µm
_02768_,250.14µm
_10966_,250.14µm
_04445_,250.05µm
net292,249.88µm
_08190_,249.37µm
enc_block.block_w1_reg\[22\],249.37µm
_11026_,249.33µm
net358,249.22µm
_06380_,248.95µm
net70,248.64µm
net463,248.58µm
net149,248.46µm
_08116_,248.38µm
_11249_,248.24µm
_09059_,248.18µm
_07913_,248.09µm
_04811_,248.05µm
_04832_,248.01µm
net185,247.62µm
_06014_,247.48µm
_03508_,247.18µm
_09277_,246.85µm
net616,246.24µm
_11145_,246.22µm
net424,246.01µm
clknet_5_20__leaf_clk,245.94µm
net508,245.88µm
_03867_,245.54µm
_06627_,245.49µm
_02745_,245.47µm
net83,245.44µm
_04819_,245.11µm
net157,244.76µm
_11250_,244.21µm
_04198_,243.97µm
net372,243.92µm
_05074_,243.74µm
dec_block.block_w0_reg\[7\],243.685µm
_10394_,243.49µm
net375,243.38µm
_06003_,242.935µm
_02975_,242.83µm
enc_block.block_w1_reg\[29\],242.78µm
net349,242.78µm
_09257_,242.68µm
_02721_,242.455µm
_02826_,242.155µm
net705,242.075µm
_08229_,242.02µm
_03277_,241.8µm
_06239_,241.47µm
net460,241.23µm
clknet_5_18__leaf_clk,241.22µm
_09864_,240.62µm
clknet_5_8__leaf_clk,240.1µm
_11282_,240.05µm
net60,240.04µm
net472,240.04µm
clknet_5_27__leaf_clk,239.91µm
_04789_,239.81µm
_11267_,239.63µm
keymem.round_ctr_reg\[0\],239.42µm
_08287_,239.38µm
net405,239.2µm
_09809_,239.13µm
_08913_,238.74µm
enc_block.block_w1_reg\[16\],238.24µm
_03830_,238.04µm
_10415_,237.84µm
_02920_,237.82µm
_03506_,237.32µm
clknet_5_12__leaf_clk,237µm
_05621_,236.94µm
_11043_,236.6µm
_06190_,236.4µm
_05303_,236.29µm
net161,236.14µm
_09808_,235.96µm
_04401_,235.92µm
_11946_,235.74µm
_02740_,235.695µm
dec_block.block_w0_reg\[18\],235.62µm
dec_block.block_w0_reg\[13\],235.5µm
_11885_,235.36µm
net518,235.12µm
_11828_,234.99µm
_11959_,234.58µm
_03881_,234.565µm
_04833_,234.415µm
net169,234.41µm
dec_block.block_w3_reg\[22\],234.12µm
_03795_,233.855µm
_04422_,233.85µm
_02565_,233.77µm
_11188_,233.69µm
_11075_,233.32µm
_04781_,233.26µm
_08200_,233.19µm
net392,233.05µm
_03507_,232.92µm
_11200_,232.86µm
clknet_5_21__leaf_clk,232.75µm
_08122_,232.59µm
_10876_,232.56µm
_08262_,232.43µm
dec_block.block_w3_reg\[17\],232.315µm
_03884_,232.24µm
net393,232.24µm
net400,232.14µm
_03334_,232.02µm
net461,231.68µm
_04677_,231.31µm
net444,231.25µm
_09247_,231.14µm
clknet_5_7__leaf_clk,230.68µm
net402,230.62µm
enc_block.block_w2_reg\[26\],230.53µm
net326,230.52µm
net338,230.36µm
clknet_5_29__leaf_clk,230.08µm
net196,230.02µm
net638,229.88µm
_04636_,229.82µm
_03160_,229.77µm
_10463_,229.56µm
_03444_,229.22µm
_09197_,229.04µm
_06898_,228.91µm
net17,228.84µm
_04849_,228.075µm
_08178_,227.92µm
_10533_,227.78µm
dec_block.block_w3_reg\[27\],227.64µm
_03765_,227.615µm
net412,227.13µm
enc_block.block_w1_reg\[25\],227.1µm
net507,227.1µm
net283,227.065µm
_02769_,226.61µm
_11952_,225.99µm
enc_block.block_w1_reg\[6\],225.92µm
_04297_,225.88µm
_03688_,225.45µm
_04729_,225.36µm
clknet_5_26__leaf_clk,224.92µm
_03833_,224.695µm
_02702_,224.64µm
_02750_,224.6µm
_06336_,224.58µm
_08827_,224.33µm
net144,224.3µm
_11044_,224.18µm
_09517_,224.15µm
_09765_,224µm
net353,224µm
_02692_,223.97µm
net535,223.9µm
_11255_,223.83µm
_09838_,223.45µm
enc_block.block_w2_reg\[30\],223.41µm
_03678_,223.32µm
_02989_,223.22µm
net509,223.22µm
dec_block.block_w3_reg\[11\],223.2µm
_08775_,222.97µm
enc_block.block_w1_reg\[5\],222.945µm
_10743_,222.94µm
net482,222.76µm
_04298_,222.63µm
_10440_,222.58µm
dec_block.block_w2_reg\[16\],222.43µm
_10532_,222.37µm
_02965_,222.33µm
clknet_5_25__leaf_clk,222.22µm
_04690_,222.2µm
net137,222.04µm
dec_block.block_w0_reg\[6\],222µm
net418,221.97µm
net374,221.62µm
net469,221.32µm
net419,221.13µm
_04731_,221.04µm
_04974_,220.86µm
_10441_,220.835µm
_10464_,220.82µm
_10465_,220.72µm
dec_block.block_w0_reg\[11\],220.64µm
_06360_,220.6µm
_02701_,220.57µm
_04737_,220.54µm
net504,220.54µm
_11908_,220.32µm
clknet_5_31__leaf_clk,220.19µm
_04835_,220.16µm
net432,220.12µm
net548,219.845µm
_02653_,219.32µm
dec_block.block_w3_reg\[12\],219.32µm
_03859_,219.27µm
_03335_,219.25µm
_05489_,219.23µm
enc_block.block_w3_reg\[12\],219.15µm
enc_block.block_w2_reg\[17\],219.11µm
_03807_,219.09µm
dec_block.block_w3_reg\[24\],219.07µm
_11223_,218.965µm
net347,218.72µm
_07919_,218.68µm
_11369_,218.59µm
net464,218.34µm
_10103_,218.3µm
_07892_,218.23µm
_10755_,218.14µm
_10027_,217.92µm
_04627_,217.9µm
_02929_,217.32µm
clknet_5_24__leaf_clk,217.16µm
_04744_,217.14µm
dec_block.block_w3_reg\[23\],216.98µm
_04063_,216.92µm
_08673_,216.76µm
_02871_,216.6µm
net499,216.5µm
_07934_,216.42µm
_02690_,216.38µm
_03847_,216.36µm
_05958_,216.3µm
enc_block.block_w1_reg\[4\],216.11µm
_04807_,215.725µm
net331,215.72µm
_04788_,215.57µm
enc_block.block_w1_reg\[24\],215.5µm
_08333_,215.4µm
net270,215.1µm
clknet_5_30__leaf_clk,214.98µm
clknet_5_22__leaf_clk,214.92µm
_04801_,214.61µm
_11261_,214.57µm
net321,214.32µm
clknet_5_5__leaf_clk,214.3µm
_05734_,214.28µm
_04391_,213.92µm
_02870_,213.08µm
_04813_,212.9µm
_09863_,212.875µm
_08159_,212.72µm
_02596_,212.68µm
net411,212.24µm
net13,212.14µm
clknet_5_4__leaf_clk,212.1µm
_12014_,212.04µm
net423,211.98µm
_05076_,211.86µm
net192,211.75µm
net465,211.69µm
keymem.prev_key1_reg\[6\],211.5µm
net653,211.26µm
_11482_,211µm
clknet_5_9__leaf_clk,210.8µm
clknet_5_14__leaf_clk,210.76µm
net16,210.46µm
_09128_,210.42µm
net184,210.22µm
_11204_,210.2µm
net160,210.18µm
_03882_,210µm
net397,210µm
net530,209.9µm
net500,209.86µm
net503,209.8µm
_11742_,209.75µm
_03945_,209.64µm
_08207_,209.6µm
net487,209.59µm
_05104_,209.28µm
net410,209.28µm
_06889_,209.2µm
_11171_,208.6µm
_05755_,208.52µm
_05945_,208.44µm
dec_block.block_w3_reg\[14\],208.075µm
_03237_,207.7µm
_04817_,207.53µm
_03842_,207.24µm
_08185_,207.105µm
_04814_,207.04µm
_04725_,206.95µm
_04745_,206.9µm
_02817_,206.8µm
_03799_,206.8µm
dec_block.block_w0_reg\[8\],206.5µm
_07816_,206.42µm
dec_block.block_w3_reg\[13\],206.16µm
_11322_,205.74µm
_06606_,205.68µm
net180,205.65µm
dec_block.block_w3_reg\[15\],205.63µm
_03355_,205.02µm
_02760_,205µm
_04739_,205µm
_11305_,204.73µm
net409,204.62µm
clknet_5_11__leaf_clk,204.56µm
_03748_,204.38µm
_07967_,204.37µm
clknet_5_2__leaf_clk,203.98µm
_03982_,203.63µm
net150,203.58µm
net242,203.54µm
clknet_5_10__leaf_clk,203.535µm
_03866_,203.44µm
net71,203.22µm
_07885_,203.1µm
net422,203.04µm
dec_block.block_w2_reg\[27\],202.96µm
clknet_5_3__leaf_clk,202.92µm
_08067_,202.7µm
_02693_,202.24µm
dec_block.block_w0_reg\[0\],202.14µm
dec_block.block_w2_reg\[7\],202.11µm
net112,202.08µm
net234,202.04µm
net703,202.035µm
_02778_,201.6µm
net398,201.58µm
_11149_,201.5µm
net147,201.39µm
net515,201.35µm
_09201_,201.23µm
net468,201.22µm
clknet_5_19__leaf_clk,201.22µm
net255,201.06µm
net216,201.02µm
_11860_,200.97µm
_11368_,200.93µm
_11222_,200.7µm
_02827_,200.29µm
_03992_,200.28µm
clknet_5_13__leaf_clk,200.17µm
net513,200.1µm
net113,199.84µm
net376,199.44µm
_09777_,199.38µm
net431,199.32µm
_11947_,199.21µm
_07906_,199.09µm
net510,199µm
_11984_,198.76µm
_04920_,198.65µm
net442,198.62µm
enc_block.block_w2_reg\[7\],198.57µm
net187,198.43µm
net315,198.42µm
_04883_,198.37µm
_03787_,198.3µm
_04251_,198.03µm
dec_block.block_w0_reg\[1\],198.03µm
_03958_,198.01µm
_08154_,197.855µm
dec_block.block_w2_reg\[17\],197.705µm
_03864_,197.7µm
dec_block.block_w2_reg\[28\],197.69µm
_04812_,197.44µm
net133,197.44µm
net549,197.42µm
net486,197.28µm
_04831_,196.9µm
_03788_,196.7µm
enc_block.block_w3_reg\[18\],196.44µm
_10937_,196.15µm
_04928_,196.115µm
_09118_,196.11µm
_04894_,195.98µm
net473,195.68µm
net478,195.58µm
_04595_,195.51µm
_06666_,195.46µm
_10917_,195.39µm
_09436_,195.18µm
_08110_,194.98µm
_11175_,194.97µm
_04742_,194.76µm
_02780_,194.45µm
_10488_,194.34µm
_04830_,194.16µm
dec_block.block_w3_reg\[16\],193.9µm
_03247_,193.8µm
net481,193.66µm
_06113_,193.655µm
_04890_,193.46µm
enc_block.block_w3_reg\[26\],193.4µm
net368,193.32µm
clknet_5_6__leaf_clk,193.16µm
net91,193µm
_11244_,192.99µm
_03878_,192.945µm
_10438_,192.8µm
_02761_,192.79µm
_09135_,192.78µm
_04767_,192.74µm
net413,192.66µm
net260,192.5µm
dec_block.block_w3_reg\[9\],192.42µm
_02801_,192.14µm
enc_block.block_w2_reg\[23\],192.07µm
_02747_,192.005µm
_04328_,191.96µm
_03900_,191.22µm
_03908_,191.06µm
_10511_,190.94µm
dec_block.block_w3_reg\[29\],190.92µm
_10826_,190.76µm
net159,190.53µm
net5,190.34µm
enc_block.block_w2_reg\[16\],190.22µm
_03731_,190.14µm
_11034_,190.02µm
net501,189.82µm
_06543_,189.7µm
_02883_,189.5µm
_09936_,189.43µm
_04839_,189.42µm
_11273_,189.4µm
_03995_,189.365µm
_11319_,189.26µm
_02783_,189.14µm
enc_block.block_w1_reg\[3\],189.06µm
_09826_,188.96µm
_04203_,188.93µm
_09160_,188.425µm
net450,188.26µm
_03125_,188.03µm
_10330_,187.94µm
clknet_5_0__leaf_clk,187.94µm
enc_block.block_w2_reg\[28\],187.86µm
_04530_,187.76µm
_09778_,187.54µm
_03261_,187.3µm
_03812_,187.25µm
_04766_,187.24µm
_04860_,187.13µm
net81,187.04µm
_05158_,186.94µm
_10952_,186.64µm
_06814_,186.6µm
net401,186.58µm
_02733_,186.44µm
enc_block.block_w2_reg\[21\],186.32µm
_11722_,186.24µm
_11183_,186.22µm
_08189_,186.2µm
net477,185.74µm
dec_block.block_w3_reg\[28\],185.4µm
net475,185.4µm
_04064_,185.18µm
_11179_,185.18µm
_04339_,184.83µm
_06653_,184.69µm
_04776_,184.28µm
_09732_,184.25µm
net466,184.25µm
net194,184.16µm
net404,184.16µm
_08679_,184.06µm
_03912_,183.95µm
_07927_,183.73µm
_04720_,183.67µm
_11584_,183.22µm
net399,183.22µm
_02776_,182.89µm
_04857_,182.69µm
_11289_,182.325µm
net396,182.2µm
dec_block.block_w2_reg\[31\],182.125µm
dec_block.block_w3_reg\[31\],181.94µm
_06362_,181.91µm
dec_block.block_w3_reg\[4\],181.9µm
_03872_,181.78µm
_08152_,181.72µm
_09108_,181.71µm
_10956_,181.44µm
_07997_,180.83µm
_04701_,180.78µm
_03757_,180.74µm
net533,180.58µm
_04892_,180.27µm
_09860_,180.02µm
net247,179.8µm
_09299_,179.44µm
_06512_,179.42µm
enc_block.block_w2_reg\[27\],179.4µm
_04287_,179.32µm
dec_block.block_w2_reg\[22\],179.22µm
_11066_,179.12µm
_08048_,179.06µm
net521,179.02µm
_04741_,178.89µm
_02616_,178.81µm
_02697_,178.78µm
_07953_,178.64µm
_09138_,177.89µm
_02866_,177.86µm
net107,177.84µm
_11205_,177.58µm
_09784_,177.57µm
net151,177.46µm
_05228_,177.43µm
_04836_,176.98µm
net512,176.86µm
_09563_,176.79µm
_11357_,176.56µm
dec_block.block_w0_reg\[27\],176.54µm
_11995_,176.28µm
_11271_,176.16µm
net502,176.12µm
_11414_,176.04µm
net87,176.04µm
net476,176.04µm
_06872_,175.97µm
_04752_,175.91µm
_10557_,175.8µm
_08108_,175.77µm
_10685_,175.76µm
net484,175.74µm
net704,175.15µm
dec_block.block_w2_reg\[23\],175.085µm
_04187_,174.78µm
_04922_,174.58µm
net361,174.14µm
_03965_,174.135µm
_04834_,174.06µm
_03427_,174.04µm
_09774_,174.04µm
net467,174.04µm
_11253_,173.86µm
net300,173.645µm
_04457_,173.54µm
net451,173.52µm
dec_block.block_w2_reg\[3\],173.47µm
_09116_,173.06µm
_11177_,173.04µm
dec_block.block_w3_reg\[3\],173µm
_09152_,172.56µm
_02954_,172.38µm
_07922_,172.35µm
net447,172.32µm
_03433_,172.26µm
net316,172.26µm
dec_block.block_w2_reg\[19\],172.02µm
_02822_,171.88µm
_10087_,171.68µm
_10418_,171.44µm
net199,171.36µm
_11110_,171.35µm
_07847_,171.24µm
dec_block.block_w3_reg\[1\],171.23µm
_11712_,171.12µm
_08106_,171µm
net384,170.48µm
net218,170.44µm
net138,170.24µm
net516,170.03µm
enc_block.block_w1_reg\[1\],169.94µm
_08557_,169.8µm
_03249_,169.765µm
net79,169.5µm
net114,169.5µm
dec_block.block_w0_reg\[15\],169.34µm
net495,168.86µm
_03824_,168.73µm
_10926_,168.68µm
_09845_,168.51µm
_07993_,168.455µm
net514,168.43µm
_11470_,168.12µm
net511,168.12µm
_03735_,167.93µm
dec_block.block_w2_reg\[5\],167.93µm
_09316_,167.89µm
_03356_,167.78µm
_05610_,167.54µm
_11426_,167.52µm
_04485_,167.45µm
dec_block.block_w1_reg\[31\],167.18µm
_11247_,167.16µm
_09906_,167.08µm
enc_block.block_w3_reg\[20\],166.94µm
_03952_,166.715µm
dec_block.block_w0_reg\[5\],166.6µm
_07879_,166.58µm
dec_block.block_w3_reg\[25\],166.49µm
net395,166.24µm
_11181_,166.12µm
_10166_,166.11µm
_04823_,166.07µm
_02756_,165.96µm
_08328_,165.78µm
_03752_,165.68µm
net517,165.67µm
_07067_,165.44µm
_09445_,165.15µm
net443,165.15µm
net170,165.14µm
_02674_,165.12µm
_11632_,165.11µm
_02787_,165.1µm
_06879_,165.09µm
_02766_,164.95µm
_02729_,164.92µm
_03135_,164.85µm
keymem.key_mem_ctrl_reg\[2\],164.43µm
_04186_,164.32µm
_03210_,164.19µm
net182,164.1µm
_04764_,163.84µm
_02887_,163.8µm
_03227_,163.67µm
net394,163.54µm
net438,163.52µm
_10079_,163.32µm
net483,163.3µm
_09611_,163.22µm
_10863_,162.77µm
_11199_,162.76µm
_11023_,162.55µm
_07898_,162.52µm
_08125_,162.51µm
_05575_,162.36µm
_11330_,162µm
_08080_,161.88µm
_04898_,161.83µm
_09176_,161.735µm
net494,161.65µm
_11996_,161.3µm
_04905_,161.04µm
_09235_,161.02µm
_09831_,160.92µm
net189,160.735µm
enc_block.block_w2_reg\[4\],160.54µm
_07959_,160.32µm
_09158_,160.22µm
_06201_,160.04µm
_11840_,159.92µm
_08124_,159.895µm
_03916_,159.88µm
enc_block.block_w3_reg\[31\],159.815µm
_10258_,159.72µm
_10559_,159.62µm
_07866_,159.36µm
_06391_,159.08µm
_04016_,159.03µm
_03111_,158.96µm
_08358_,158.72µm
_10013_,158.69µm
net491,158.64µm
_09122_,158.56µm
_11425_,158.52µm
_11837_,158.4µm
_07946_,158.23µm
_04110_,158.12µm
_10841_,158.01µm
_10162_,157.67µm
_09876_,157.5µm
_04973_,157.48µm
_05977_,157.4µm
_06664_,157.3µm
net139,157.26µm
net446,157.14µm
_02696_,156.96µm
_08081_,156.96µm
_10859_,156.82µm
_02487_,156.78µm
_09121_,156.66µm
net206,156.5µm
_03953_,156.3µm
_09689_,156.28µm
net439,156.14µm
_03898_,155.98µm
dec_block.block_w2_reg\[4\],155.965µm
_11208_,155.745µm
_11818_,155.58µm
dec_block.block_w2_reg\[20\],155.525µm
net109,155.42µm
_10282_,155.2µm
_11206_,155.02µm
_02782_,154.85µm
net449,154.76µm
_09649_,154.5µm
net248,154.4µm
_11120_,154.36µm
_04856_,154.29µm
_03468_,154.24µm
dec_block.block_w3_reg\[5\],154.04µm
_08166_,153.84µm
dec_block.block_w2_reg\[6\],153.605µm
_03876_,152.96µm
_10706_,152.79µm
_08227_,152.56µm
_10576_,152.48µm
_09184_,152.27µm
_06236_,152.02µm
_11314_,151.96µm
_11388_,151.85µm
_02706_,151.68µm
_09114_,151.55µm
_03400_,151.47µm
_10518_,151.32µm
_03821_,151.16µm
_02790_,151.095µm
net488,151.06µm
_11827_,151.02µm
_09538_,150.98µm
_07904_,150.56µm
_08100_,150.46µm
net299,150.42µm
_10898_,150.385µm
_08260_,150.35µm
_11502_,150.22µm
_02825_,150.21µm
_09071_,150.085µm
enc_block.block_w2_reg\[29\],150.07µm
_02691_,149.74µm
_05078_,149.72µm
dec_block.block_w2_reg\[26\],149.62µm
_02862_,149.5µm
_11713_,149.4µm
enc_block.block_w2_reg\[22\],149.3µm
net312,149.25µm
_03889_,149.24µm
_09885_,149.19µm
net448,149.14µm
_11033_,149.02µm
_02505_,149µm
net74,148.9µm
dec_block.block_w2_reg\[1\],148.82µm
_03122_,148.7µm
net213,148.62µm
_11859_,148.56µm
net373,148.52µm
_05237_,148.32µm
_07958_,148.175µm
_02575_,148.16µm
dec_block.block_w2_reg\[0\],148.12µm
_02832_,148.03µm
_02943_,147.98µm
dec_block.block_w0_reg\[29\],147.94µm
_03364_,147.93µm
_09203_,147.9µm
_04479_,147.84µm
net105,147.78µm
_09239_,147.7µm
_09981_,147.49µm
_04931_,147.36µm
_11870_,147.32µm
net455,147.26µm
_03836_,147.22µm
dec_block.block_w1_reg\[30\],147.2µm
net152,147µm
_10640_,146.98µm
_02779_,146.495µm
_03389_,146.46µm
_11311_,146.41µm
_04225_,146.36µm
_04838_,146.255µm
_02816_,146.16µm
enc_block.block_w3_reg\[23\],146.11µm
_06615_,145.8µm
keymem.key_mem_ctrl_reg\[1\],145.72µm
_11129_,145.49µm
_02741_,144.99µm
clknet_leaf_44_clk,144.94µm
dec_block.block_w3_reg\[26\],144.83µm
_03016_,144.69µm
_03065_,144.68µm
_06897_,144.64µm
_08017_,144.39µm
_09868_,144.1µm
dec_block.block_w0_reg\[16\],144.04µm
_09206_,143.86µm
_08136_,143.855µm
net701,143.695µm
clknet_leaf_139_clk,143.58µm
_03905_,143.53µm
_08087_,143.53µm
_05601_,143.3µm
_02882_,143.24µm
net492,143.24µm
enc_block.block_w1_reg\[0\],143.22µm
_07841_,143.2µm
_09761_,143µm
_09090_,142.82µm
dec_block.block_w0_reg\[17\],142.52µm
net179,142.52µm
_09940_,142.48µm
_04872_,142.44µm
net459,142.36µm
_09803_,142.3µm
dec_block.block_w2_reg\[21\],142.185µm
_09668_,142.18µm
_04935_,142.16µm
_03193_,142.14µm
_09512_,141.77µm
_04611_,141.7µm
enc_block.block_w3_reg\[19\],141.44µm
_10983_,141.32µm
dec_block.block_w3_reg\[30\],141.28µm
_10938_,141.1µm
_10921_,141.06µm
clknet_leaf_151_clk,140.705µm
_06111_,140.68µm
_08170_,140.58µm
_04322_,140.24µm
_05050_,140.08µm
clknet_leaf_9_clk,139.98µm
_02739_,139.94µm
_03784_,139.56µm
_03038_,139.54µm
_03101_,139.54µm
_04912_,139.54µm
_11525_,139.25µm
clknet_leaf_230_clk,139.24µm
_04423_,139.18µm
_03858_,139.06µm
dec_block.block_w1_reg\[29\],138.93µm
_11196_,138.8µm
_04797_,138.76µm
dec_block.block_w2_reg\[29\],138.5µm
_02620_,138.48µm
_09292_,138.48µm
_09798_,138.41µm
_04037_,138.34µm
_09850_,138.33µm
_06024_,138.06µm
clknet_leaf_183_clk,137.92µm
_02930_,137.88µm
_03888_,137.6µm
_09663_,137.54µm
keymem.key_mem\[0\]\[20\],137.46µm
_07055_,137.24µm
_06803_,137.14µm
net259,136.8µm
net111,136.48µm
_03739_,136.32µm
_03810_,136.18µm
enc_block.block_w3_reg\[21\],136.16µm
net163,136.16µm
_04824_,136.13µm
_05331_,136.04µm
net195,135.97µm
net210,135.94µm
_08686_,135.78µm
_11055_,135.76µm
_09938_,135.73µm
_03409_,135.72µm
_11648_,135.665µm
_11743_,135.64µm
_09134_,135.48µm
net318,135.44µm
_09852_,135.4µm
_04424_,135.24µm
_07917_,135.21µm
_04596_,135.12µm
net456,135.12µm
_05594_,134.86µm
_07926_,134.86µm
net489,134.76µm
_08094_,134.7µm
_08698_,134.51µm
net454,134.46µm
_04065_,134.44µm
_05157_,134.12µm
_03393_,133.91µm
_09180_,133.89µm
_11497_,133.68µm
_03826_,133.57µm
clknet_leaf_182_clk,133.52µm
_06975_,133.26µm
_09097_,132.88µm
_07282_,132.76µm
_08097_,132.58µm
_03758_,132.45µm
_04204_,132.4µm
_04896_,131.99µm
_11309_,131.99µm
_11461_,131.76µm
enc_block.block_w2_reg\[19\],131.66µm
_09594_,131.6µm
_10635_,131.46µm
_02632_,131.42µm
_02682_,131.12µm
_02856_,131.12µm
_09698_,131.1µm
_09109_,131.08µm
_09140_,131µm
_05569_,130.97µm
_04978_,130.74µm
_10407_,130.6µm
_09261_,130.54µm
_10056_,130.53µm
keymem.key_mem\[0\]\[17\],130.42µm
net440,130.4µm
_09785_,130.26µm
enc_block.block_w2_reg\[20\],130.18µm
_03479_,130.14µm
_08731_,130.14µm
net493,130µm
_05083_,129.95µm
_08730_,129.9µm
_02797_,129.795µm
keymem.key_mem\[0\]\[27\],129.745µm
_11623_,129.74µm
_02851_,129.64µm
_08940_,129.6µm
_04365_,129.48µm
_08530_,129.39µm
_04902_,129.28µm
_07032_,129.24µm
_07873_,128.96µm
_05585_,128.92µm
_02541_,128.84µm
_06441_,128.82µm
_07894_,128.74µm
_08987_,128.72µm
_09238_,128.65µm
net453,128.56µm
_11728_,128.48µm
_09202_,128.46µm
_03744_,128.42µm
_03871_,128.15µm
_09133_,127.985µm
_09796_,127.88µm
net457,127.64µm
_03856_,127.62µm
_03873_,127.58µm
_09776_,127.49µm
_03279_,127.44µm
_04269_,127.3µm
_11326_,126.75µm
_04711_,126.7µm
dec_block.block_w0_reg\[14\],126.62µm
_09123_,126.26µm
_08282_,126.24µm
_03761_,126.16µm
_02848_,126.12µm
_05229_,125.99µm
clknet_leaf_232_clk,125.78µm
net360,125.66µm
_10108_,125.6µm
_02804_,125.56µm
_08111_,125.36µm
_05305_,125.3µm
_02762_,125.28µm
_08153_,125.27µm
_03850_,125.26µm
_06594_,125.24µm
_08157_,125.225µm
_07875_,125.22µm
clknet_leaf_246_clk,125.15µm
_08142_,125.11µm
dec_block.block_w0_reg\[4\],125.025µm
_03921_,124.83µm
enc_block.block_w2_reg\[3\],124.81µm
